Time - Voltage	Amplitude - Voltage
0	-0,00059623
1	0,00215046
2	0,00561279
3	0,00745921
4	0,0120979
5	0,0151126
6	0,0195095
7	0,0226075
8	0,0254701
9	0,0298246
10	0,0355776
11	0,0402572
12	0,0444662
13	0,0443405
14	0,0427656
15	0,0423981
16	0,0428475
17	0,0453851
18	0,0462218
19	0,0446959
20	0,0447663
21	0,044719
22	0,0435085
23	0,0442978
24	0,0428388
25	0,0402509
26	0,0364637
27	0,0351551
28	0,0295837
29	0,0239453
30	0,0167564
31	0,00830775
32	-0,00144311
33	-0,00886079
34	-0,019427
35	-0,0335582
36	-0,0438091
37	-0,0566496
38	-0,0702695
39	-0,0860118
40	-0,102857
41	-0,118052
42	-0,136652
43	-0,15394
44	-0,174961
45	-0,195105
46	-0,214984
47	-0,23764
48	-0,258723
49	-0,278669
50	-0,298978
51	-0,319232
52	-0,342111
53	-0,364967
54	-0,388929
55	-0,412524
56	-0,436475
57	-0,460289
58	-0,484246
59	-0,5097
60	-0,535398
61	-0,559265
62	-0,585125
63	-0,608992
64	-0,635394
65	-0,661838
66	-0,688797
67	-0,718661
68	-0,746273
69	-0,775052
70	-0,803735
71	-0,83322
72	-0,863762
73	-0,892613
74	-0,922055
75	-0,952622
76	-0,982781
77	-1,01338
78	-1,04578
79	-1,07634
80	-1,10894
81	-1,14239
82	-1,17377
83	-1,20466
84	-1,23688
85	-1,26855
86	-1,30111
87	-1,33213
88	-1,36415
89	-1,39805
90	-1,4305
91	-1,46513
92	-1,49957
93	-1,53546
94	-1,56957
95	-1,60554
96	-1,64267
97	-1,67932
98	-1,71475
99	-1,74795
100	-1,78292
101	-1,81761
102	-1,85271
103	-1,8894
104	-1,92417
105	-1,95936
106	-1,99406
107	-2,03186
108	-2,06892
109	-2,10623
110	-2,14206
111	-2,17777
112	-2,21364
113	-2,24988
114	-2,28539
115	-2,32411
116	-2,36247
117	-2,39948
118	-2,43548
119	-2,47336
120	-2,51198
121	-2,54966
122	-2,58753
123	-2,62578
124	-2,66304
125	-2,70086
126	-2,7384
127	-2,77502
128	-2,81426
129	-2,85103
130	-2,88746
131	-2,92536
132	-2,9621
133	-2,99933
134	-3,03737
135	-3,07716
136	-3,11474
137	-3,15274
138	-3,18898
139	-3,22745
140	-3,26469
141	-3,3028
142	-3,3405
143	-3,37911
144	-3,41647
145	-3,455
146	-3,49168
147	-3,53035
148	-3,56905
149	-3,60882
150	-3,6461
151	-3,68216
152	-3,72175
153	-3,76187
154	-3,80108
155	-3,84052
156	-3,87941
157	-3,91704
158	-3,95246
159	-3,99116
160	-4,02906
161	-4,06585
162	-4,10411
163	-4,14049
164	-4,17697
165	-4,21286
166	-4,24887
167	-4,28345
168	-4,31975
169	-4,35528
170	-4,39228
171	-4,42983
172	-4,46391
173	-4,49917
174	-4,53458
175	-4,56976
176	-4,60441
177	-4,64186
178	-4,67744
179	-4,71184
180	-4,74998
181	-4,78804
182	-4,8243
183	-4,86173
184	-4,89777
185	-4,93401
186	-4,97082
187	-5,00856
188	-5,04574
189	-5,08276
190	-5,1211
191	-5,15753
192	-5,19393
193	-5,22947
194	-5,26677
195	-5,30226
196	-5,33777
197	-5,37376
198	-5,41084
199	-5,44743
200	-5,48153
201	-5,51993
202	-5,55968
203	-5,59728
204	-5,64065
205	-5,67944
206	-5,72145
207	-5,76196
208	-5,80231
209	-5,8449
210	-5,88961
211	-5,93054
212	-5,97193
213	-6,00975
214	-6,04755
215	-6,08296
216	-6,1197
217	-6,15889
218	-6,19509
219	-6,23012
220	-6,26721
221	-6,30194
222	-6,33517
223	-6,3716
224	-6,40383
225	-6,43609
226	-6,46822
227	-6,50354
228	-6,53487
229	-6,56642
230	-6,5962
231	-6,6263
232	-6,65386
233	-6,68214
234	-6,70557
235	-6,72682
236	-6,75246
237	-6,77603
238	-6,79846
239	-6,81527
240	-6,83141
241	-6,85008
242	-6,86674
243	-6,88541
244	-6,90056
245	-6,91574
246	-6,9307
247	-6,94223
248	-6,95756
249	-6,97189
250	-6,98299
251	-6,9964
252	-7,00747
253	-7,01931
254	-7,02946
255	-7,03894
256	-7,04878
257	-7,06173
258	-7,07383
259	-7,07924
260	-7,08746
261	-7,09772
262	-7,10366
263	-7,1127
264	-7,11777
265	-7,12451
266	-7,12995
267	-7,13287
268	-7,13612
269	-7,13933
270	-7,14309
271	-7,14573
272	-7,14759
273	-7,15014
274	-7,15183
275	-7,15198
276	-7,15503
277	-7,15868
278	-7,15951
279	-7,16086
280	-7,15956
281	-7,15595
282	-7,15667
283	-7,15998
284	-7,16091
285	-7,16285
286	-7,16446
287	-7,16642
288	-7,16835
289	-7,16896
290	-7,16808
291	-7,16819
292	-7,16602
293	-7,16147
294	-7,16168
295	-7,16047
296	-7,1555
297	-7,15129
298	-7,14988
299	-7,14961
300	-7,14679
301	-7,14314
302	-7,13924
303	-7,13418
304	-7,13256
305	-7,1298
306	-7,12663
307	-7,1203
308	-7,11443
309	-7,10875
310	-7,10389
311	-7,09934
312	-7,09506
313	-7,08908
314	-7,08588
315	-7,0806
316	-7,07451
317	-7,0705
318	-7,0644
319	-7,05807
320	-7,04969
321	-7,04329
322	-7,03549
323	-7,02906
324	-7,02215
325	-7,01611
326	-7,00995
327	-7,00678
328	-6,99761
329	-6,99148
330	-6,98599
331	-6,97621
332	-6,96821
333	-6,96175
334	-6,95356
335	-6,94268
336	-6,93518
337	-6,92611
338	-6,9197
339	-6,9106
340	-6,90227
341	-6,89525
342	-6,88912
343	-6,88286
344	-6,87737
345	-6,8704
346	-6,86512
347	-6,85698
348	-6,84916
349	-6,83987
350	-6,83263
351	-6,82527
352	-6,81624
353	-6,80654
354	-6,79695
355	-6,78734
356	-6,77865
357	-6,77175
358	-6,76552
359	-6,75666
360	-6,74726
361	-6,73786
362	-6,72523
363	-6,71532
364	-6,70739
365	-6,70009
366	-6,69246
367	-6,68553
368	-6,67837
369	-6,67017
370	-6,66243
371	-6,65175
372	-6,64534
373	-6,6389
374	-6,63222
375	-6,62455
376	-6,61643
377	-6,60615
378	-6,59724
379	-6,59046
380	-6,58171
381	-6,56857
382	-6,5606
383	-6,55149
384	-6,54599
385	-6,53826
386	-6,52817
387	-6,51716
388	-6,50621
389	-6,49636
390	-6,48897
391	-6,48291
392	-6,47414
393	-6,4662
394	-6,4581
395	-6,45105
396	-6,44378
397	-6,4345
398	-6,42395
399	-6,41756
400	-6,41063
401	-6,40478
402	-6,3942
403	-6,38581
404	-6,37406
405	-6,36595
406	-6,35544
407	-6,34478
408	-6,33591
409	-6,32596
410	-6,3155
411	-6,30644
412	-6,29597
413	-6,28574
414	-6,275
415	-6,26707
416	-6,25864
417	-6,25107
418	-6,24426
419	-6,23645
420	-6,22724
421	-6,22013
422	-6,21261
423	-6,20391
424	-6,19695
425	-6,18847
426	-6,1797
427	-6,17199
428	-6,16292
429	-6,15593
430	-6,14924
431	-6,13949
432	-6,13135
433	-6,12411
434	-6,11925
435	-6,11082
436	-6,10165
437	-6,09133
438	-6,08254
439	-6,07805
440	-6,07356
441	-6,06611
442	-6,05798
443	-6,04741
444	-6,03892
445	-6,03068
446	-6,02455
447	-6,01599
448	-6,00367
449	-5,99583
450	-5,99124
451	-5,98429
452	-5,97714
453	-5,96883
454	-5,96101
455	-5,95366
456	-5,9448
457	-5,93418
458	-5,9242
459	-5,92018
460	-5,91235
461	-5,90479
462	-5,89879
463	-5,89074
464	-5,88351
465	-5,8764
466	-5,86827
467	-5,8614
468	-5,85475
469	-5,84773
470	-5,83961
471	-5,83254
472	-5,82376
473	-5,81593
474	-5,80888
475	-5,80258
476	-5,79256
477	-5,78095
478	-5,76993
479	-5,75988
480	-5,74979
481	-5,74275
482	-5,73408
483	-5,72355
484	-5,71383
485	-5,70507
486	-5,696
487	-5,69026
488	-5,68234
489	-5,67086
490	-5,66386
491	-5,65415
492	-5,64475
493	-5,63845
494	-5,6289
495	-5,61964
496	-5,61197
497	-5,60374
498	-5,59369
499	-5,58353
500	-5,57405
501	-5,56589
502	-5,55702
503	-5,55103
504	-5,54173
505	-5,53253
506	-5,52421
507	-5,51658
508	-5,50934
509	-5,49909
510	-5,49255
511	-5,48381
512	-5,47549
513	-5,46682
514	-5,45709
515	-5,44688
516	-5,43676
517	-5,42553
518	-5,4184
519	-5,40875
520	-5,40186
521	-5,39342
522	-5,38854
523	-5,37921
524	-5,37171
525	-5,36198
526	-5,35553
527	-5,34235
528	-5,33513
529	-5,32504
530	-5,31758
531	-5,31255
532	-5,30661
533	-5,29765
534	-5,28994
535	-5,28386
536	-5,27903
537	-5,27404
538	-5,2679
539	-5,26143
540	-5,25544
541	-5,24758
542	-5,23973
543	-5,22804
544	-5,22022
545	-5,2136
546	-5,20472
547	-5,1969
548	-5,18669
549	-5,1785
550	-5,17121
551	-5,16339
552	-5,15379
553	-5,14597
554	-5,13835
555	-5,12985
556	-5,12134
557	-5,11422
558	-5,10672
559	-5,09994
560	-5,0918
561	-5,08797
562	-5,08347
563	-5,07928
564	-5,07371
565	-5,06948
566	-5,06527
567	-5,06184
568	-5,05706
569	-5,05295
570	-5,04752
571	-5,04248
572	-5,03834
573	-5,03182
574	-5,02443
575	-5,01845
576	-5,01411
577	-5,00653
578	-5,00083
579	-4,99413
580	-4,98482
581	-4,98144
582	-4,97395
