Time - Voltage	Amplitude - Voltage
0	0,000604672
1	0,00134005
2	0,00183689
3	0,00268664
4	0,00373573
5	0,00449399
6	0,00523264
7	0,00591737
8	0,00649427
9	0,0073767
10	0,00823299
11	0,00907294
12	0,0100583
13	0,0108084
14	0,0114703
15	0,0124916
16	0,013325
17	0,0141535
18	0,0148464
19	0,0157746
20	0,0165116
21	0,0177453
22	0,0188287
23	0,0199023
24	0,0208909
25	0,0217145
26	0,0229205
27	0,023914
28	0,0246445
29	0,0251446
30	0,0258555
31	0,0267395
32	0,0276203
33	0,0281613
34	0,0288428
35	0,0294523
36	0,0298903
37	0,0302842
38	0,0309134
39	0,031273
40	0,0312895
41	0,0313011
42	0,0317587
43	0,0321657
44	0,0329076
45	0,033442
46	0,0337509
47	0,0345076
48	0,0355877
49	0,0362365
50	0,0369947
51	0,0373854
52	0,0382368
53	0,0392728
54	0,0401601
55	0,0409527
56	0,0417158
57	0,0426767
58	0,0436523
59	0,0443059
60	0,0449531
61	0,0454614
62	0,046303
63	0,0468733
64	0,0474698
65	0,0481807
66	0,048787
67	0,0495175
68	0,0499882
69	0,05065
70	0,0514001
71	0,0522009
72	0,0529232
73	0,0537893
74	0,0548073
75	0,0553466
76	0,0556784
77	0,0560037
78	0,0560398
79	0,0568356
80	0,057638
81	0,0584878
82	0,0590826
83	0,0600876
84	0,0611465
85	0,0622283
86	0,0632381
87	0,0639555
88	0,064784
89	0,0660292
90	0,0670129
91	0,0678627
92	0,0689134
93	0,0698596
94	0,070657
95	0,0715493
96	0,0725036
97	0,0731867
98	0,0740185
99	0,0746395
100	0,0748177
101	0,0751119
102	0,0753849
103	0,0756955
104	0,076127
105	0,0765585
106	0,0771811
107	0,077557
108	0,0781503
109	0,0780736
110	0,0779839
111	0,0781491
112	0,0781116
113	0,078084
114	0,0784305
115	0,0787868
116	0,0791709
117	0,0795991
118	0,0795078
119	0,0798478
120	0,0795603
121	0,0796111
122	0,0793711
123	0,079314
124	0,0791491
125	0,0790267
126	0,0793487
127	0,0797345
128	0,0794634
129	0,0796645
130	0,0796532
131	0,0797677
132	0,0797499
133	0,0798301
134	0,079889
135	0,0798222
136	0,0801442
137	0,0806933
138	0,0809679
139	0,0815759
140	0,0820988
141	0,0826333
142	0,0828311
143	0,0828035
144	0,0828314
145	0,0829148
146	0,0829003
147	0,082822
148	0,0832812
149	0,0840477
150	0,084538
151	0,085056
152	0,0859189
153	0,0866167
154	0,0870269
155	0,0873652
156	0,0880206
157	0,0886955
158	0,0893279
159	0,089547
160	0,0897628
161	0,0903708
162	0,0905408
163	0,0909184
164	0,0912665
165	0,0912503
166	0,0913338
167	0,0914647
168	0,0919648
169	0,0922427
170	0,0927101
171	0,0934945
172	0,0938606
173	0,0940731
174	0,093923
175	0,0945391
176	0,0948398
177	0,095072
178	0,0950868
179	0,0950282
180	0,0953093
181	0,0951984
182	0,0952295
183	0,0954192
184	0,0952984
185	0,0953639
186	0,0955961
187	0,0955848
188	0,0954215
189	0,0954053
190	0,0951849
191	0,095283
192	0,0951247
193	0,0955317
194	0,095754
195	0,0961022
196	0,0962575
197	0,0960534
198	0,0957921
199	0,0962154
200	0,0961615
201	0,0961419
202	0,096137
203	0,0957286
204	0,0951698
205	0,0949998
206	0,0947695
207	0,0942499
208	0,0941028
209	0,0936682
210	0,0928611
211	0,0918072
212	0,0910671
213	0,0909102
214	0,0908187
215	0,0901129
216	0,0897175
217	0,089242
218	0,088765
219	0,0879023
220	0,0872781
221	0,0864792
222	0,0860723
223	0,0855626
224	0,0848404
225	0,0847178
226	0,0844597
227	0,0845904
228	0,0848306
229	0,0851982
230	0,0853681
231	0,0853567
232	0,0849384
233	0,0849825
234	0,0850413
235	0,085056
236	0,0849188
237	0,0851884
