Time - Voltage	Amplitude - Voltage
0	0,000335082
1	-0,000261148
2	7,56E-05
3	0,00282226
4	0,0031557
5	0,00661803
6	0,00696945
7	0,00881587
8	0,00918037
9	0,0138191
10	0,0141836
11	0,0171982
12	0,0175643
13	0,0219613
14	0,0223241
15	0,0254221
16	0,0257866
17	0,0286493
18	0,0278259
19	0,0321804
20	0,0210963
21	0,0268493
22	0,0152717
23	0,0199513
24	0,00732646
25	0,0115355
26	-0,00132139
27	-0,00144706
28	-0,0143922
29	-0,0159671
30	-0,0287635
31	-0,029131
32	-0,0417003
33	-0,0412508
34	-0,0542172
35	-0,0516796
36	-0,0647619
37	-0,0639253
38	-0,0770386
39	-0,0785645
40	-0,0916044
41	-0,091534
42	-0,104634
43	-0,104682
44	-0,117851
45	-0,119061
46	-0,132104
47	-0,131315
48	-0,144335
49	-0,145794
50	-0,158868
51	-0,161456
52	-0,174306
53	-0,178094
54	-0,191063
55	-0,192372
56	-0,205384
57	-0,210955
58	-0,223969
59	-0,229607
60	-0,242602
61	-0,249791
62	-0,262749
63	-0,271197
64	-0,284133
65	-0,293883
66	-0,306788
67	-0,314205
68	-0,32708
69	-0,337646
70	-0,350508
71	-0,364639
72	-0,377485
73	-0,387736
74	-0,400545
75	-0,413386
76	-0,426156
77	-0,439776
78	-0,452517
79	-0,468259
80	-0,480979
81	-0,497824
82	-0,510527
83	-0,525722
84	-0,538407
85	-0,557007
86	-0,56972
87	-0,587008
88	-0,599659
89	-0,620681
90	-0,633341
91	-0,653485
92	-0,666118
93	-0,685998
94	-0,698523
95	-0,721178
96	-0,733738
97	-0,754821
98	-0,767304
99	-0,78725
100	-0,799721
101	-0,82003
102	-0,832474
103	-0,852727
104	-0,86514
105	-0,888019
106	-0,900399
107	-0,923255
108	-0,935585
109	-0,959548
110	-0,971843
111	-0,995437
112	-1,0077
113	-1,03165
114	-1,04389
115	-1,0677
116	-1,0799
117	-1,10385
118	-1,116
119	-1,14145
120	-1,15356
121	-1,17926
122	-1,19133
123	-1,21519
124	-1,22722
125	-1,25308
126	-1,26507
127	-1,28894
128	-1,30088
129	-1,32729
130	-1,33917
131	-1,36562
132	-1,37745
133	-1,40441
134	-1,41619
135	-1,44606
136	-1,4578
137	-1,48541
138	-1,4971
139	-1,52588
140	-1,53749
141	-1,56617
142	-1,57768
143	-1,60716
144	-1,61856
145	-1,6491
146	-1,66043
147	-1,68928
148	-1,70056
149	-1,73
150	-1,74117
151	-1,77173
152	-1,78277
153	-1,81293
154	-1,82386
155	-1,85446
156	-1,86523
157	-1,89762
158	-1,9082
159	-1,93877
160	-1,9492
161	-1,98179
162	-1,99216
163	-2,02562
164	-2,0359
165	-2,06728
166	-2,07743
167	-2,10832
168	-2,1184
169	-2,15062
170	-2,16064
171	-2,19231
172	-2,20223
173	-2,23478
174	-2,24452
175	-2,27554
176	-2,28513
177	-2,31715
178	-2,32661
179	-2,36051
180	-2,36986
181	-2,40231
182	-2,41157
183	-2,4462
184	-2,45535
185	-2,48979
186	-2,49884
187	-2,53472
188	-2,54365
189	-2,57776
190	-2,58656
191	-2,62254
192	-2,63118
193	-2,66831
194	-2,67678
195	-2,71344
196	-2,72184
197	-2,75727
198	-2,76561
199	-2,7988
200	-2,8074
201	-2,84178
202	-2,85028
203	-2,88771
204	-2,89611
205	-2,93467
206	-2,94302
207	-2,98156
208	-2,98983
209	-3,02924
210	-3,03746
211	-3,07566
212	-3,0838
213	-3,12289
214	-3,13094
215	-3,17184
216	-3,17978
217	-3,2197
218	-3,22636
219	-3,26802
220	-3,26435
221	-3,30593
222	-3,30166
223	-3,34205
224	-3,33661
225	-3,37669
226	-3,37091
227	-3,40701
228	-3,40105
229	-3,43499
230	-3,42912
231	-3,46747
232	-3,46175
233	-3,50056
234	-3,49435
235	-3,5339
236	-3,52744
237	-3,56427
238	-3,55765
239	-3,59401
240	-3,58736
241	-3,62605
242	-3,61929
243	-3,65692
244	-3,65002
245	-3,68667
246	-3,67982
247	-3,71886
248	-3,71196
249	-3,74775
250	-3,74069
251	-3,77593
252	-3,76897
253	-3,80271
254	-3,79551
255	-3,83083
256	-3,82346
257	-3,85713
258	-3,84963
259	-3,88076
260	-3,87312
261	-3,90237
262	-3,89467
263	-3,92412
264	-3,91638
